,Model,posted_at,Year,Length,Beam,Draft,Location,Price,Material,Hull,Type,Rigging,Cabins,Condition
1248,MacGregor M26D,24-Nov-2018,1988,26',',',South Carolina,"$4,500",fiberglass,monohull,daysailer,fractional sloop,,project boat
1249,Islander Bahama,24-Nov-2018,1983,30.0',10.0',5.00',California,"$24,900",fiberglass,monohull,cruiser,masthead sloop,,excellent
1250,Stiletto S23,24-Nov-2018,1985,23',14',1',North Carolina,"$5,900",other,catamaran,racer/cruiser,cat boat,0,fair
1251,Allmand tricabin,24-Nov-2018,1981,31',',4',Florida,"$30,000",fiberglass,monohull,cruiser,fractional sloop,3,fair
1252,Catalina 30 30 Tall Rig,23-Nov-2018,1982,29.92',10.83',5.3',Massachusetts,"$15,000",fiberglass,monohull,cruiser,masthead sloop,2,good
1253,Beneteau Oceanis 400,22-Nov-2018,1995,40',12.10',5.7',Outside United States,"$104,900",fiberglass,monohull,cruiser,masthead sloop,3,good
1254,Beneteau Oceanis 343,22-Nov-2018,2006,34',11.33',5.7',Outside United States,"$99,000",fiberglass,monohull,cruiser,masthead sloop,2,good
1255,Columbia MI II,22-Nov-2018,1974,43',12',7',,"$39,000",fiberglass,monohull,cruiser,masthead sloop,1,good
1256,Hunter Legend 375,21-Nov-2018,1992,37',12.5',4.11',Florida,"$50,000",fiberglass,monohull,cruiser,cutter,2,excellent
1257,Chrysler 22 Ft.,19-Nov-2018,1978,22',7.75',5',Nevada,$1,fiberglass,monohull,cruiser,masthead sloop,1,fair
1258,Palmer Johnson New York 40 Peterson,19-Nov-2018,1979,40',12'8',7'2',Michigan,"$49,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
1259,Union 36 1988 Union 36 Mark II,19-Nov-2018,1988,36',11.5',5.8',California,"$89,000",fiberglass,monohull,cruiser,cutter,1,excellent
1260,Cheoy Lee 44 Robert Bob Perry,19-Nov-2018,1979,43.80',13.25',6',,"$49,000",fiberglass,monohull,cruiser,ketch,2,
1261,RYDER - Bristol Rhode Island USA Southern Cross 35,18-Nov-2018,1984,35',11.7',5',Outside United States,"$48,000",fiberglass,monohull,cruiser,cutter,2,excellent
1262,NACRA 500,18-Nov-2018,2009,16',8',',Florida,"$8,000",fiberglass,catamaran,other,fractional sloop,0,good
1263,Hunter 34,16-Nov-2018,1983,34'4',11'9',4'3',Louisiana,"$18,000",fiberglass,monohull,cruiser,,,excellent
1264,Santana ,28-Aug-2016,1967,21',',',California,"$1,000",fiberglass,monohull,daysailer,other,1,project boat
1265,Bavaria 31 cruiser 31 cruiser,28-Aug-2016,2008,',',',Arkansas,"$42,000",fiberglass,monohull,cruiser,,2,excellent
1266,Bavaria 44 New engine,28-Aug-2016,2003,',',',Arkansas,"$60,000",fiberglass,monohull,cruiser,,4,excellent
1267,MAXI Maxi 77,28-Aug-2016,1976,25',7.7',4.5',Outside United States,"$6,000",fiberglass,monohull,cruiser,,,good
1268,Reinell 22,26-Aug-2016,1979,22'',7.0',2.8',Georgia,"$3,500",fiberglass,monohull,daysailer,fractional sloop,1,good
1269,Irwin 28 Mark 4,25-Aug-2016,1977,28.5',9',4.6',Pennsylvania,"$8,800",fiberglass,monohull,cruiser,,1,good
1270,Douglas Flying Scot 4020,25-Aug-2016,1980,19',6',',North Carolina,"$6,500",fiberglass,monohull,racer/cruiser,,,excellent
1271,S2 Yachts 7.3,24-Aug-2016,1978,23.83',8',4',Florida,"$2,500",fiberglass,monohull,cruiser,masthead sloop,1,fair
1272,Hunter ,23-Aug-2016,1989,19',',',Washington,"$5,000",fiberglass,monohull,daysailer,,1,good
1273,Pearson J24,23-Aug-2016,1985,24',',',Massachusetts,"$7,000",fiberglass,monohull,racer/cruiser,,,good
1274,Gibert Marine GibSea 472,23-Aug-2016,1993,45',16',6',Outside United States,"$100,000",fiberglass,monohull,cruiser,masthead sloop,5,good
1275,Self Core Sound 17,23-Aug-2016,2005,17',5.5',1',North Carolina,"$6,200",composite,monohull,daysailer,ketch,,excellent
1276,Custom John Alden Design,23-Aug-2016,1994,60',16',6.5',Florida,"$725,000",fiberglass,monohull,other,schooner,4,good
1277,Custom Build by George Waymark Philip Rhodes Whistler Series,23-Aug-2016,1967,38.5',10',4',Outside United States,"$55,000",wood,monohull,cruiser,fractional sloop,1,excellent
1278,Mc Vay Yachts 24' Mcvay Blue Nose 24,23-Aug-2016,1976,24'',6'',2'',Florida,"$6,000",fiberglass,monohull,racer/cruiser,fractional sloop,,good
1279,Pearson 323,23-Aug-2016,1978,32',11',4.5',New York,"$20,000",fiberglass,monohull,racer/cruiser,masthead sloop,,excellent
1280,Baltic 39,22-Aug-2016,1978,39',12.5',6.75',Connecticut,"$79,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,excellent
1281,Jensen Marine Cal 2-27,22-Aug-2016,1976,27',9.3',4.3',California,"$11,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,excellent
1282,Pearson P28,22-Aug-2016,1977,28',9'3',5'6',New York,"$8,750",fiberglass,monohull,cruiser,masthead sloop,1,excellent
1283,Sabre 28,22-Aug-2016,1975,28',9.4',4.5',Maine,"$12,500",fiberglass,monohull,cruiser,masthead sloop,1,good
1284,CAPE DORY 25,21-Aug-2016,,25',',',Virginia,"$5,000",fiberglass,monohull,cruiser,masthead sloop,,excellent
1285,Laser Radial,21-Aug-2016,2015,13',',',New York,"$6,500",fiberglass,monohull,dinghy,,,excellent
1286,CC 24FT,20-Aug-2016,1974,24',5',4',Texas,"$7,000",fiberglass,monohull,cruiser,ketch,1,good
1287,Catalina 25,19-Aug-2016,1984,25',10',4',North Carolina,"$3,200",fiberglass,monohull,cruiser,masthead sloop,2,good
1288,MARINER ,19-Aug-2016,,28',',',Texas,"$9,000",fiberglass,monohull,cruiser,,,good
1289,Hinterhoeller Shark,18-Aug-2016,1967,24',6',3.2',Maryland,"$3,200",fiberglass,monohull,daysailer,fractional sloop,1,good
1290,Beneteau First 210 - 21.0,18-Aug-2016,1993,21',8',2'4',Wisconsin,"$14,900",fiberglass,monohull,cruiser,fractional sloop,1,excellent
1291,Reichel-Pugh TP52,18-Aug-2016,2005,52',14.5',10.6',Outside United States,"$265,000",fiberglass,monohull,racer,masthead sloop,,excellent
1292,Pearson 303,18-Aug-2016,1987,30',10',4',Maryland,"$27,500",fiberglass,monohull,cruiser,,2,
1293,NEWICK Trice III Ostar Race / Cruiser,18-Aug-2016,1982,37',25' 4',2.5',North Carolina,"$63,000",fiberglass,trimaran,racer/cruiser,other,1,good
1294,Hunter 30 Cherubini,18-Aug-2016,1978,30',11',4',Outside United States,"$9,500",fiberglass,monohull,cruiser,masthead sloop,2,good
1295,Pearson Custom 32   SCREECH,17-Aug-2016,1975,32',11',3',Wisconsin,"$14,800",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
1296,C&amp;C 33,17-Aug-2016,1976,33',10.5',5.5',Michigan,"$8,300",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
1297,Cape Cod Shipbuilding Bullseye 15,17-Aug-2016,1974,12',5.1',2.5',New York,"$32,500",fiberglass,monohull,,,,excellent
1298,C &amp; C Yachts C&amp;C 30,17-Aug-2016,1978,30',10',5',New York,"$15,000",fiberglass,monohull,cruiser,masthead sloop,1,good
1299,Tartan Yachts Tartan 30,17-Aug-2016,1974,30',10',5.5',New York,"$16,000",fiberglass,monohull,cruiser,masthead sloop,1,good
1300,Hunter Marine Hunter 31,17-Aug-2016,1985,31.33',10.92',5.3',New York,"$16,900",fiberglass,monohull,,masthead sloop,2,good
1301,Pearson Yachts Pearson 30,17-Aug-2016,1970,29.79',9.5',5',New York,"$6,500",fiberglass,monohull,,masthead sloop,1,good
1302,Sabre Yachts Sabre 28,17-Aug-2016,1974,28',9.17',4.33',New York,"$17,500",fiberglass,monohull,,masthead sloop,1,good
1303,Sabre Yachts Sabre 28,17-Aug-2016,1974,28.5',9.2',4.4',New York,"$15,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
1304,Catalina Yachts Catalina 27,17-Aug-2016,1974,27',8.83',4',New York,"$3,000",fiberglass,monohull,cruiser,masthead sloop,1,project boat
1305,Catalina Yachts Catalina 27,17-Aug-2016,1973,26.83',8.83',4',New York,"$4,200",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
1306,Hunter Marine Hunter 25,17-Aug-2016,,24.83',8',3.92',New York,"$3,000",,,,masthead sloop,,fair
1307,Cal Yachts Cal 2-27,17-Aug-2016,1975,26.58',9.25',4.25',New York,"$6,100",fiberglass,monohull,cruiser,masthead sloop,1,project boat
1308,Freedom Yachts Freedom 25,17-Aug-2016,1982,26.67',8.5',4.42',New York,"$12,500",fiberglass,monohull,daysailer,cat boat,1,good
1309,Bayfield Boatyard Bayfield 25,17-Aug-2016,1983,23.67',7.92',3.75',New York,"$9,000",fiberglass,monohull,cruiser,masthead sloop,1,
1310,Ranger Yachts Ranger 23,17-Aug-2016,1973,23.67',7.92',3.75',New York,"$4,000",fiberglass,monohull,cruiser,masthead sloop,1,good
1311,Cal Yachts Cal 2-28,17-Aug-2016,1986,28.3',',5.3',New York,"$9,900",fiberglass,monohull,cruiser,masthead sloop,2,good
1312,Traditional Watercraft Inc Island Packet 31,17-Aug-2016,1985,30.7',11.6',3.6',New York,"$49,900",fiberglass,monohull,cruiser,,3,
1313,Mirage Kirby 25,17-Aug-2016,1980,25',9',4.5',Virginia,"$5,500",fiberglass,monohull,racer,fractional sloop,,good
1314,Catalina Yachts Catalina,17-Aug-2016,1984,25',',',New York,"$6,200",fiberglass,monohull,cruiser,masthead sloop,,good
1315,Hunter Cherubini,17-Aug-2016,1980,30',10',5',New York,"$6,950",fiberglass,monohull,cruiser,masthead sloop,2,good
1316,J boats J80,17-Aug-2016,2012,26.30',8.30',4.90',Outside United States,"$42,500",fiberglass,monohull,racer/cruiser,other,,excellent
1317,Hunter Liberty sailing dinghy,16-Aug-2016,,10',4',.5',Massachusetts,"$2,950",fiberglass,monohull,daysailer,cat boat,,excellent
1318,Catalina 27,16-Aug-2016,1985,',',',Florida,"$12,000",fiberglass,monohull,racer/cruiser,masthead sloop,,good
1319,Clark Boat Company San Juan 24,16-Aug-2016,1973,24',8',4',Maine,"$5,000",fiberglass,monohull,racer/cruiser,,1,good
1320,O'Day 322,16-Aug-2016,1988,32',10'4',4',Connecticut,"$19,500",fiberglass,monohull,cruiser,,,excellent
1321,South Coast 22,15-Aug-2016,1972,22',7.08',4.75',Illinois,"$3,800",fiberglass,monohull,daysailer,,1,good
1322,Bavaria Yachts Bavaria 42 Exclusive,15-Aug-2016,1999,42',13.2',5.7',Rhode Island,"$114,900",fiberglass,monohull,cruiser,fractional sloop,3,excellent
1323,SouthCoast ,15-Aug-2016,1965,23',',',Virginia,"$1,500",fiberglass,monohull,daysailer,,,good
1324,Beneteau First 29,15-Aug-2016,1986,29.5',9.75',5.5',Maine,"$19,950",fiberglass,monohull,racer/cruiser,masthead sloop,2,good
1325,Hunter 25,14-Aug-2016,1983,25',8',3',Illinois,"$5,500",fiberglass,monohull,cruiser,,,excellent
1326,Morgan ,14-Aug-2016,1974,27',',',North Carolina,"$1,500",fiberglass,monohull,cruiser,,,good
1327,O'day DS 1499,13-Aug-2016,1964,17',',',California,"$1,650",fiberglass,monohull,daysailer,,,good
1328,Spindrift Daysailer,13-Aug-2016,1984,17',',',Louisiana,"$3,500",fiberglass,monohull,daysailer,fractional sloop,,excellent
1329,Graham &amp; Schlageter -4,13-Aug-2016,1977,30',9.5',6',Michigan,"$5,000",fiberglass,monohull,racer,masthead sloop,1,good
1330,PEARSON SLOOP,13-Aug-2016,1973,30',',',Ohio,"$5,000",fiberglass,monohull,racer/cruiser,,,good
1331,Hunter Hunter 27,12-Aug-2016,1976,27'',9'',4'',New York,"$5,950",fiberglass,monohull,cruiser,masthead sloop,1,good
1332,Alan Pape Cuttyhunk,12-Aug-2016,1982,38',11',7',Outside United States,"$75,000",wood,monohull,cruiser,cutter,2,excellent
1333,jeanneaou Voyage 12.5,12-Aug-2016,1989,41',13.5',5.5',New York,"$69,000",fiberglass,monohull,cruiser,masthead sloop,3,good
1334,Hunter 38,12-Aug-2016,2006,38',12.92',5',North Carolina,"$130,000",fiberglass,monohull,racer/cruiser,fractional sloop,2,excellent
1335,C &amp; C 29 MK 2,12-Aug-2016,1984,28-6',9-5',5-3',Rhode Island,"$20,000",fiberglass,monohull,racer/cruiser,masthead sloop,2,excellent
1336,Morgan 382,12-Aug-2016,1979,38',12',5',Outside United States,"$55,000",fiberglass,monohull,cruiser,schooner,,good
1337,Nautitech 47,11-Aug-2016,2005,47',25',3.9',Outside United States,"$290,000",fiberglass,catamaran,cruiser,cat boat,4,good
1338,beneteau 281,11-Aug-2016,1995,28.5',9',4',New York,"$32,500",fiberglass,monohull,cruiser,masthead sloop,2,excellent
1339, Botni H-Boat,11-Aug-2016,1979,27',',4',New York,"$15,000",fiberglass,monohull,racer/cruiser,,1,excellent
1340,Catalina ,11-Aug-2016,1985,22',7',4.5',New Jersey,"$2,000",fiberglass,monohull,daysailer,masthead sloop,,
1341, Lord Nelson 41,10-Aug-2016,1983,50',12.8',5.7',Outside United States,"$85,000",fiberglass,monohull,cruiser,cutter,1,good
1342,Pearson Ensign,10-Aug-2016,1972,23',7',3',Iowa,"$4,500",fiberglass,monohull,cruiser,,,good
1343,Scampi mark IV,18-Jun-2016,1974,30',9',5',New Hampshire,"$8,500",fiberglass,monohull,racer/cruiser,,2,good
1344,Hunter Marine Hunter-18,17-Jun-2016,2011,18',5.5',1.5',Wisconsin,"$9,000",fiberglass,monohull,daysailer,fractional sloop,0,excellent
1345,CNB LAGOON Lagoon 52,17-Jun-2016,2016,52',28',5',Outside United States,"$1,050,000",fiberglass,catamaran,cruiser,cat boat,4,new
1346,Catalina 30 ft.Standard Rig,17-Jun-2016,1977,30',12',5.5',Michigan,"$15,000",fiberglass,monohull,daysailer,,1,excellent
1347,Beneteau Oceanis 31,17-Jun-2016,2009,31'7',12',5'11',Texas,"$72,500",fiberglass,monohull,cruiser,,2,excellent
1348,Hunter 420 Passage,17-Jun-2016,1999,42',13'10',5',Texas,"$99,800",fiberglass,monohull,cruiser,,2,good
1349,Jeanneau 53,17-Jun-2016,2011,53',15.6',"5'10""'",Florida,"$299,900",fiberglass,monohull,cruiser,,3,good
1350,Hunter Hunter 340,17-Jun-2016,1999,34',11',6',Florida,"$57,500",fiberglass,monohull,racer/cruiser,fractional sloop,2,excellent
1351,Chrysler ,16-Jun-2016,1979,20',',2',Michigan,"$2,500",fiberglass,monohull,daysailer,,,excellent
1352,carrera 290,16-Jun-2016,1993,29',',5.7',Oregon,"$15,999",fiberglass,monohull,racer,fractional sloop,,good
1353,Catalina 250 Mark 11,16-Jun-2016,2006,25',8.5',1.8',Colorado,"$23,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,excellent
1354,International Marine Sanibel 18,15-Jun-2016,1988,18',8',1',Florida,"$5,900",fiberglass,monohull,cruiser,fractional sloop,1,good
1355,Hobie Tandem Island,14-Jun-2016,2016,18'6'',10'',',Colorado,"$6,349",other,trimaran,daysailer,,,new
1356,Pearson Vanguard,14-Jun-2016,1965,32',9.25',4.5',New Jersey,"$8,000",fiberglass,monohull,cruiser,masthead sloop,,good
1357,O'day 22,14-Jun-2016,1976,22',',',Georgia,"$2,500",fiberglass,monohull,daysailer,,,
1358,Hunter 25,14-Jun-2016,1978,25',',',Alabama,"$3,500",fiberglass,monohull,daysailer,,,excellent
1359,International Marine West Wight Potter 15,14-Jun-2016,2009,15',6',2',Michigan,"$7,500",fiberglass,monohull,cruiser,other,1,excellent
1360,Dyer Midget,14-Jun-2016,1985,"7'9""'",',',New York,"$1,600",fiberglass,monohull,dinghy,,,
1361,Northwest School for Wooden Boats 2004 Nordstrom Knockabout,13-Jun-2016,2004,18',6',3.7',Washington,"$14,900",wood,monohull,daysailer,fractional sloop,0,excellent
1362,Pearson 26 OD,13-Jun-2016,1979,26',8',4',Michigan,"$5,500",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
1363,Morgan 30,13-Jun-2016,1972,30',9.6',7.2',Wisconsin,"$6,500",fiberglass,monohull,cruiser,masthead sloop,1,fair
1364,GLOUSTER 22,13-Jun-2016,1987,22',8',4.92',Pennsylvania,"$4,500",fiberglass,monohull,cruiser,fractional sloop,1,good
1365,Macgregor 25',13-Jun-2016,1980,25',8',1.5',Texas,"$4,000",fiberglass,monohull,daysailer,masthead sloop,1,good
1366,Hunter 27,13-Jun-2016,1979,27',',',Maine,$,fiberglass,,,,,good
1367,Catalina Catalina 30,13-Jun-2016,1978,29'11',1010',4'10',New York,"$9,500",fiberglass,monohull,motorsailer,,,good
1368,american 146 american 14.6,12-Jun-2016,,14.6',6.2',3.6',Wisconsin,"$1,950",fiberglass,monohull,daysailer,masthead sloop,,excellent
1369,Allied Seawind,12-Jun-2016,1971,30',8',4.5',New York,"$25,000",fiberglass,monohull,cruiser,ketch,1,good
1370,MacGregor 25 Ft Swing Keel,12-Jun-2016,1984,25',7',2-5',North Carolina,"$2,900",fiberglass,monohull,cruiser,cutter,1,good
1371,Catalina Yachts Catalina 27,12-Jun-2016,1986,27',10',4',North Carolina,"$11,500",fiberglass,monohull,cruiser,,2,excellent
1372,Hobie Cat F18 Tiger,11-Jun-2016,2003,18',86',',California,"$4,900",fiberglass,catamaran,daysailer,cat boat,,good
1373,CS Traditional,11-Jun-2016,1980,36',11'6',4'11',Connecticut,"$43,500",fiberglass,monohull,cruiser,,1,excellent
1374,C &amp; C Mark III,11-Jun-2016,1987,35',11'2',6' 7',Connecticut,"$38,000",fiberglass,monohull,cruiser,,1,excellent
1375,Sabre 28,11-Jun-2016,1977,28',9' 2',4' 4',Connecticut,"$12,995",fiberglass,monohull,cruiser,,1,good
1376,Pearson 26,11-Jun-2016,1975,26',8' 8',4'',Connecticut,"$3,500",fiberglass,monohull,cruiser,,1,fair
1377,Pearson 26,11-Jun-2016,1971,26',8' 8',4'',Connecticut,"$3,500",fiberglass,monohull,cruiser,,1,fair
1378,JBoats J/30,10-Jun-2016,1979,30',',',New York,"$12,500",fiberglass,monohull,racer/cruiser,fractional sloop,1,fair
1379,Island Packet IP32,10-Jun-2016,1993,35',11'7',4.4',Florida,"$104,000",fiberglass,monohull,cruiser,cutter,2,excellent
1380,Erickson 27,09-Jun-2016,1978,27',9 12',5',California,"$8,500",fiberglass,monohull,cruiser,masthead sloop,1,good
1381,Custom Handbuilt Eastport Pram,09-Jun-2016,2011,8',4',',Texas,"$1,500",wood,monohull,dinghy,,0,new
1382,Walker Bay 8 Sailing Dinghy,09-Jun-2016,,8',',',West Virginia,"$1,600",fiberglass,monohull,dinghy,,,excellent
1383,Cal 30,08-Jun-2016,1969,30',10',5',Outside United States,"$8,300",fiberglass,monohull,racer/cruiser,fractional sloop,1,excellent
1384,Catalina 34,08-Jun-2016,1988,34.5',12',6',Kansas,"$37,500",fiberglass,monohull,cruiser,masthead sloop,2,good
1385,J boats J 24,07-Jun-2016,1980,24',9',4.5',Colorado,"$6,500",fiberglass,monohull,racer/cruiser,fractional sloop,1,good
1386,hobie 14,07-Jun-2016,2002,14',7',.5',Michigan,$900,fiberglass,catamaran,racer,cat boat,,excellent
1387,oday 25,07-Jun-2016,1976,25',',',New York,"$1,000",fiberglass,monohull,daysailer,,,fair
1388,Hunter Legend,07-Jun-2016,1992,37.5',12.10',4'11',New York,"$60,000",fiberglass,monohull,racer/cruiser,fractional sloop,2,excellent
1389,Columbia 1976,07-Jun-2016,1976,',',',North Carolina,"$9,000",fiberglass,monohull,daysailer,other,2,good
1390,Jeanneau Sun Odyssey 35,06-Jun-2016,2005,35',12',4' 9',Texas,"$78,000",fiberglass,monohull,cruiser,masthead sloop,2,excellent
1391,Oday Tempest,06-Jun-2016,1964,23.17',7.76',3.67',Maine,$750,fiberglass,monohull,cruiser,masthead sloop,1,fair
1392,Beneteau Oceanis 36 CC,05-Jun-2016,1998,36',12.5',5 2',New York,"$57,900",fiberglass,monohull,cruiser,masthead sloop,2,good
1393, International 14,05-Jun-2016,1947,14',',',California,"$7,800",wood,monohull,racer,ketch,0,excellent
1394,O'Day 20,05-Jun-2016,1974,20',7',1.2',Delaware,$789,fiberglass,monohull,cruiser,fractional sloop,1,good
1395,Pearson 33,04-Jun-2016,1970,33',10',4',Washington,"$11,500",fiberglass,monohull,cruiser,masthead sloop,1,good
1396,Cat Ketch Corporation 33' Cat Ketch,04-Jun-2016,1988,33'',11' 8',"3' 8""'",Florida,"$27,500",fiberglass,monohull,cruiser,other,2,fair
1397,Bristol Bristol 26,04-Jun-2016,1972,26',8',"3'10""'",Connecticut,"$6,000",fiberglass,monohull,cruiser,masthead sloop,2,good
1398,Morgan Heritage,04-Jun-2016,1976,37',11',4 12',Florida,"$22,000",fiberglass,monohull,racer/cruiser,masthead sloop,1,good
1399,Pearson Alberg,03-Jun-2016,1963,35',9'8',5'2',Florida,"$25,000",fiberglass,monohull,cruiser,masthead sloop,1,good
1400,Hunter 30 Foot,03-Jun-2016,1991,30',"11'6""'","51""'",New York,"$25,000",fiberglass,monohull,cruiser,cat boat,1,good
1401,ERICSON 31,03-Jun-2016,1981,31',',',Georgia,"$10,000",fiberglass,monohull,motorsailer,,,fair
1402,Catalina ,02-Jun-2016,1975,22',8',4.1',New York,"$5,000",fiberglass,monohull,daysailer,masthead sloop,1,excellent
1403,Ilha Sul Nauticas Multichine 41 SK Swing Keel,02-Jun-2016,2011,41',13',4',Outside United States,"$300,000",aluminum,monohull,cruiser,cutter,2,excellent
1404,Columbia Bill Tripp - aft cabin,02-Jun-2016,1973,52',12',8',California,"$189,000",fiberglass,monohull,racer/cruiser,cutter,2,excellent
1405,Endeavor E37 w/ working bowsprit,02-Jun-2016,1980,37',11.58',4.5',North Carolina,"$32,500",fiberglass,monohull,cruiser,masthead sloop,1,good
1406,Catalina 27,02-Jun-2016,1972,27',9.5',4.2',Maryland,"$4,000",fiberglass,monohull,cruiser,masthead sloop,1,fair
1407,Catalina 34,02-Jun-2016,1988,34.5',12.6',3.8',Florida,"$57,000",fiberglass,monohull,cruiser,,2,excellent
1408,Hughes Northstar,01-Jun-2016,1977,38',10'',5'',Florida,"$20,000",fiberglass,monohull,cruiser,cutter,1,fair
1409,Pearson Yawl,01-Jun-2016,1979,35',10',4'9',Connecticut,"$13,500",fiberglass,monohull,cruiser,yawl,,good
1410,Ericson 29,31-May-2016,1970,28.5',9.5',4.5',Florida,"$11,500",fiberglass,monohull,cruiser,masthead sloop,,good
1411,Windward Boatworks Inc Butterfly,31-May-2016,2012,12.5',5.33',2.33',Illinois,"$4,000",fiberglass,monohull,racer,cat boat,0,excellent
1412,O'Day Daysailer,31-May-2016,1976,22',7',3',New York,"$4,900",fiberglass,monohull,daysailer,,,excellent
1413,Macgregor Venture,30-May-2016,1973,2-24',',',North Dakota,"$2,000",fiberglass,monohull,cruiser,,,fair
1414,Catalina 30,30-May-2016,1981,30',11',5.5',Maryland,"$5,000",fiberglass,monohull,daysailer,other,1,good
1415,HUNTER CHERUBINI,30-May-2016,1980,30',10',5',Virginia,"$17,000",fiberglass,monohull,cruiser,masthead sloop,2,good
1416,Morgan Out Island 30,30-May-2016,1977,30',',3',Outside United States,"$12,000",fiberglass,monohull,cruiser,masthead sloop,,good
1417,Catalina 22,30-May-2016,1972,22',6',6',Michigan,"$4,800",fiberglass,monohull,daysailer,masthead sloop,1,excellent
