,Model,Length: ,    Beam:,    Draft:,Year: ,Type: ,Hull: ,Location: ,Asking: ,posted_at,Engine: 
952,Hobie Cat Hobie 16 H16,16',8',1',1972,daysailer,fiberglass  catamaran,"Oconomowoc, Wisconsin","$1,600",30-Nov-2014, other inboard
972,Bavaria 31 cruiser 2008,33',,,2008,cruiser,fiberglass  monohull,"Corfu Ionian Islands Greece, Outside United States","$73,000",30-Nov-2014,1 diesel inboard
992,Bavaria 42 cruiser VAT PAID,43',,,2005,cruiser,fiberglass  monohull,"Corfu Ionian Islands Greece, Outside United States","$105,000",30-Nov-2014,1 gas inboard
1012,Bavaria 44,46',,,2004,cruiser,fiberglass  monohull,"Corfu Ionian Islands, ","$98,000",30-Nov-2014,1 diesel inboard
1032,Hermann Cat ,17',7'10',1'8',1969,daysailer,fiberglass  monohull,"Sturgeon Bay WI, Wisconsin","$9,500",29-Nov-2014,1 diesel inboard
1052,CSK Catamaran CSL Catamaran,52',,,,cruiser,fiberglass  catamaran,"Orange Beach, Alabama","$420,000",26-Nov-2014, gas inboard
1070,Viksund Norwegian Viksund Columbi 27,27'4',9'4',3'8',1973,motorsailer,fiberglass  monohull,"Inglis West Coast, Florida","$16,000",24-Nov-2014,1 diesel inboard
1090,Hunter 23.5,23.66',8.33',1.5',1994,cruiser,fiberglass  monohull,"Kronenwetter, Wisconsin","$9,900",24-Nov-2014,0 gas outboard
1110,Islander ,30',10',410',1970,cruiser,fiberglass  monohull,,"$5,000",24-Nov-2014,1 diesel inboard
1128,J Boats J24,24',8'6',4',1980,daysailer,fiberglass  monohull,"Newport, Rhode Island","$9,500",23-Nov-2014,0 gas outboard
1148,mcvay yachts falcon 16,15.75',5.20',,1970,daysailer,fiberglass  monohull,"lake worth fl, Florida",$950,20-Nov-2014,
1166,C&C 37,37',11'6',6'7',84,racer/cruiser,fiberglass  monohull,"Hull, Massachusetts","$60,000",20-Nov-2014,1 diesel inboard
1186,cape dory 25 ,25',7',3.6',1972,cruiser,fiberglass  monohull,"jamestown, Rhode Island","$3,500",20-Nov-2014,1 gas outboard
1206,Catalina 30,30',12',4',1982,cruiser,fiberglass  monohull,"Boston Shipyard  Marina 256 Marginal St Boston MA 02128, Massachusetts","$11,500",19-Nov-2014,1 diesel inboard
1226,Macgregor 26,25'10',7'9',12',2000,daysailer,fiberglass  monohull,"Ft Myers Beach, Florida","$12,000",19-Nov-2014,1 gas outboard
1246,Fountaine Pajot Lavezzi 40,40',21.4',3.6',2007,,fiberglass  catamaran,"Athens Greece, Outside United States","$200,000",19-Nov-2014,2 diesel inboard
1264,swan nautor441,44.5',13.5',8.0',1979,motorsailer,fiberglass  monohull,"West Sedona, Hawaii","$120,000",18-Nov-2014,1 diesel inboard
1284,Island Packet IP 38,38',13',5',1988,cruiser,fiberglass  monohull,"Marmaris Turkey, Outside United States","$135,000",16-Nov-2014,1 diesel inboard
1304,Pearson 35,35',10',3.9',1968,cruiser,fiberglass  monohull,"City Island, New York","$28,000",15-Nov-2014,1 diesel inboard
1324,Fuji ,45',12',5',77,cruiser,fiberglass  monohull,"Daytona Beach Florida, Florida","$60,000",15-Nov-2014, diesel inboard
1344,AMF Paceship 26 ,26',8',4-6',1979,cruiser,fiberglass  monohull,"neddles marina, Florida","$6,500",14-Nov-2014,1 gas outboard
1364,built in finland marina 85,29',10',5',1988,motorsailer,fiberglass  monohull,"little river, South Carolina","$28,500",14-Nov-2014,1 diesel inboard
1384,Catalina ,27',,,1978,cruiser,fiberglass  monohull,"Harbor Island, California","$5,500",13-Nov-2014,2 gas outboard
1404,Vanguard Laser,',,,2006,dinghy,fiberglass  monohull,"McLean, Virginia","$5,500",12-Nov-2014,
1422,Vanguard Club 420,',,,2006,dinghy,fiberglass  monohull,"McLean, Virginia","$7,000",12-Nov-2014,0 gas inboard
1442,Gulf Star center cockpit,41',,,1973,cruiser,fiberglass  monohull,"Rivers Edge in St Augustine, Florida","$75,000",12-Nov-2014,1 diesel inboard
1462,Ericson 32-2,32',,5'10',1978,cruiser,fiberglass  monohull,"Garden CityBear Lake, Utah","$17,500",12-Nov-2014, diesel inboard
1482,O'Day 34,34',,5',1984,cruiser,fiberglass  monohull,,"$18,000",11-Nov-2014,1 diesel inboard
1500,international marine sanibel,18',7',3.6',2011,cruiser,fiberglass  monohull,"Oak Ridge Missouri, Missouri","$10,900",11-Nov-2014,1 gas outboard
1520,AMF paceship 26 26,26',8.8',4-6',79,cruiser,fiberglass  monohull,"Neddles Island Marina, Florida","$6,500",11-Nov-2014, gas outboard
0,Catalina ,22',,,1986,cruiser,fiberglass  monohull,"Cedar Key, Florida","$6,000",30-Sep-2018, gas inboard
21,SAGA ,35',10.75',5.08',2002,cruiser,fiberglass  monohull,"Hayden Bay Portland, Oregon","$129,500",28-Sep-2018,1 diesel inboard
41,Catalina 30 Tall Rig,30',10.10',5.3',1977,cruiser,fiberglass  monohull,"OAKLAND, California","$9,800",28-Sep-2018,1 gas inboard
61,starwind wellcraft 223,22.3',8.50',3.00'',1986,,fiberglass  monohull,"Kalamazoo, Michigan",$500,28-Sep-2018,1 gas outboard
79,Mercator MK 2,30',8.10',5',1976,cruiser,fiberglass  monohull,"Delta, Outside United States","$18,000",28-Sep-2018,1 diesel inboard
99,Stiletto 30 GT,30',16',4.5',1986,racer/cruiser,fiberglass  catamaran,"Celina, Ohio","$27,600",28-Sep-2018,1 gas outboard
119,Watkins Sailboat,25',8',30',1984,cruiser,fiberglass  monohull,"Fair Haven, New Jersey","$6,000",27-Sep-2018, diesel inboard
139,Ericson 27,27',8',4',1976,other,fiberglass  monohull,"Sandusky, Ohio","$4,800",27-Sep-2018, gas outboard
159,O'Day 22,22',,,1980,cruiser,fiberglass  monohull,"Brookhaven, New York","$3,000",27-Sep-2018,1 gas outboard
179,O'day Yngling,20.83',5.67',3.44',,racer/cruiser,fiberglass  monohull,"Ossineke, Michigan","$2,250",27-Sep-2018,
195,Lagoon 420 owner version,42',25',4',2009,cruiser,fiberglass  catamaran,"Guatemala Rio Dulce, Outside United States","$385,000",26-Sep-2018,2 diesel inboard
215,Montgomery 17 17,17',6',2',2001,daysailer,fiberglass  monohull,"Port Townsend, Washington","$12,500",25-Sep-2018,1 gas outboard
235,Marshall Marine Corporation Marshall 15 Sandpiper,15'6',7'1',16',2015,daysailer,fiberglass  monohull,"Nantucket, Massachusetts","$25,000",25-Sep-2018,
253,Beneteau First 235,23.5',8',3',1988,racer/cruiser,fiberglass  monohull,"Harrisburg, Pennsylvania","$13,000",25-Sep-2018,1 gas outboard
273,Shannon 39,41.6',12',5.5',1999,cruiser,fiberglass  monohull,"Yarmouth, Maine","$175,000",25-Sep-2018,1 diesel inboard
293,O'Day 272,27',8',2.5',1991,daysailer,fiberglass  monohull,"DAVENPORT, Iowa","$8,500",25-Sep-2018,1 gas outboard
313,Island Packet IP380,"39'7""'","13'2""'","4'7""'",2001,cruiser,fiberglass  monohull,"Newport, Oregon","$199,000",24-Sep-2018,1 diesel inboard
333,Hunter 306,29'11',10'6',3'10',2003,cruiser,fiberglass  monohull,"Bay Shore, New York","$34,000",24-Sep-2018,1 diesel inboard
367,CAL 22,22',7',,1986,cruiser,fiberglass  monohull,"Cleveland, Ohio","$4,000",24-Sep-2018,1 gas inboard
387,RL Yachts 1981 24',24',6',4',1981,racer,fiberglass  monohull,"Grass Valley, California","$2,950",23-Sep-2018,
405,Catalina 42,42',14',6.5',1993,cruiser,fiberglass  monohull,"Rouses Point, New York","$90,000",23-Sep-2018,1 diesel inboard
425,Nacra Infusion Mark II,',,,2014,racer,fiberglass  catamaran,"Mission Bay, California","$15,000",23-Sep-2018,
443,pearson 323,32',10',4.5',1978,cruiser,fiberglass  monohull,"phippsburg, Maine","$25,000",23-Sep-2018,1 diesel inboard
463,Pearson 40 ,40',,9.5',,cruiser,fiberglass  monohull,"Long Beach, California","$67,000",22-Sep-2018, diesel inboard
481,Cape Dory ,25',7.25',3',1978,cruiser,fiberglass  monohull,"York Harbor, Massachusetts","$7,500",22-Sep-2018,1 gas outboard
501,Robertson and Caine Leopard,38',20',3.5',2010,cruiser,fiberglass  catamaran,"Grenada, Outside United States","$189,000",22-Sep-2018,2 diesel inboard
521,Catalina Catalina 27,27',9',4',1977,cruiser,fiberglass  monohull,"Mamaroneck, New York","$5,900",22-Sep-2018,1 gas outboard
541,Windmill Pooler,15'9',4',,1963,daysailer,wood  monohull,"Kansas City, Missouri","$3,400",22-Sep-2018,
559,Nacra Nacra15,15',10',,2017,racer,fiberglass  catamaran,"Clearwater Beach, Florida","$15,000",21-Sep-2018,
577,Wharram Tiki 38,38',,,,cruiser,other  catamaran,"St marks, Florida","$20,000",20-Sep-2018, gas inboard
595,C&C 35 MKI,35',10.5',5.5',1973,racer/cruiser,fiberglass  monohull,"St Clair, Michigan","$23,900",20-Sep-2018,1 gas inboard
615,Columbia Sailboat,28',8'6',4'7',1974,daysailer,fiberglass  monohull,"Powell River, Outside United States","$9,000",20-Sep-2018,1 diesel inboard
635,Alubat Ovni 455,49.6',14.3',2.60',1996,cruiser,aluminum  monohull,"Caribbean Martinique, Outside United States","$257,000",20-Sep-2018,1 diesel inboard
655,Renken R-18 Tangerine,17.50',6.33',2.00',1978,daysailer,fiberglass  monohull,"Crawfordville, Florida","$2,800",19-Sep-2018,1 gas outboard
675,Lancer ,28',8',3',1978,racer/cruiser,fiberglass  monohull,"Daytona Beach, Florida","$5,200",19-Sep-2018,1 gas outboard
695,WATKINS 27 FT,27',10',3.67',1983,cruiser,fiberglass  monohull,"Kemah, Texas","$9,800",19-Sep-2018,1 diesel inboard
715,Catalina Sloop,34',11',5',1991,cruiser,fiberglass  monohull,,"$49,999",19-Sep-2018, diesel inboard
733,Seal 47,47.6',11.5',6.0',1977,cruiser,fiberglass  monohull,"Croatia, Outside United States","$69,900",19-Sep-2018,1 diesel inboard
753,Multihull Centre UK Summer Twins 25,25',26.6',2.5',1989,cruiser,fiberglass  catamaran,"Southampton UK, Outside United States","$20,000",18-Sep-2018,0 gas outboard
773,columbia 9.6,31',10.2',5.5',1978,cruiser,fiberglass  monohull,"Cape Cod, Massachusetts","$4,900",18-Sep-2018,1 diesel inboard
793,CAL 2-27,27',"9'3""'","4'3""'",1975,cruiser,fiberglass  monohull,"Hampton, Virginia","$3,000",18-Sep-2018,1 gas inboard
813,Catalina 27,27',8',4',1977,cruiser,fiberglass  monohull,"Sea Isle City, New Jersey","$4,000",18-Sep-2018,2 gas inboard
833, J-24,24',8.75',4',1984,racer/cruiser,fiberglass  monohull,"Beaufort, South Carolina","$7,500",17-Sep-2018,1 gas outboard
853,Texas Marine International Chrysler TMI T30,30',11.5',4.9',1980,cruiser,fiberglass  monohull,"Melbourne, Florida","$17,995",17-Sep-2018,1 diesel inboard
873,Hunter Legend 35.5,35.5',11.75',4.5',1995,cruiser,fiberglass  monohull,"Erie, Pennsylvania","$58,000",17-Sep-2018,1 diesel inboard
893,Marine Concepts Sea Pearl 21,21',5.5',0.5',2018,daysailer,fiberglass  monohull,"Des Moines, Iowa","$20,000",17-Sep-2018,0 other outboard
913,Catalina 30',30',11',5',1980,cruiser,fiberglass  monohull,"Block Island, Rhode Island","$13,000",17-Sep-2018,1 diesel inboard
933,Amel Maramu,45.9',13.1',6.6',1979,cruiser,fiberglass  monohull,"Caribbean Martinique, Outside United States","$99,500",17-Sep-2018,1 diesel inboard
953,Jeanneau Sun Kiss 47 Limited edition,47',14.50',6.11',1989,cruiser,fiberglass  monohull,"Caribbean Trinidad, Outside United States","$99,500",17-Sep-2018,1 diesel inboard
973,Catalina C30 TRBS Mark I,30',10.75',5.25',1980,cruiser,fiberglass  monohull,"Mt Sinai Harbor, New York","$19,000",16-Sep-2018,1 diesel inboard
993,FLYING SCOT FLYING SCOT,19',,3',2004,racer,fiberglass  monohull,"CANYON LAKE TX, Texas","$10,995",16-Sep-2018,
1011,SABRE Sabre 30,30',10',4',1981,racer/cruiser,fiberglass  monohull,"Kent Island, Maryland","$11,250",16-Sep-2018,1 diesel inboard
1031,Taswell 43 Cutter,43',13'8',5'3',1991,cruiser,fiberglass  monohull,"New Bern, North Carolina","$199,000",16-Sep-2018,1 diesel inboard
1051,Richmond Marine Skipper 14,13.92',5',2.33',1970,daysailer,fiberglass  monohull,"Pasadena, Maryland",$800,16-Sep-2018,
1069,S2 30,30',10.5',5',1981,cruiser,fiberglass  monohull,"Sunrise Cove Marina Flowery Branch, Georgia","$14,500",16-Sep-2018,1 diesel inboard
1089,j boats 24,24',8.75',4',1981,racer/cruiser,fiberglass  monohull,"Holland Michigan, Michigan","$4,950",16-Sep-2018,1 gas outboard
1109,O'Day Corp 20,19.8',7',4.42',,cruiser,fiberglass  monohull,"Red Bluff, California","$1,800",16-Sep-2018,
1125,Island Spirit IS38,38',22',,2013,cruiser,fiberglass  catamaran,"KUAH LANGKAWI MALAYSIA, Outside United States","$185,000",16-Sep-2018,2 diesel inboard
1145,Pacific Seacraft Dana 24,24',8',3.8',2002,cruiser,fiberglass  monohull,"Morro Bay, California","$55,000",15-Sep-2018, diesel inboard
1165,Oday Mariner,19.6',,,1971,daysailer,fiberglass  monohull,"Miami, Florida","$3,000",15-Sep-2018, gas outboard
1185,Catalina Capri,14.2',6.2',3.5',1996,daysailer,fiberglass  monohull,,"$2,300",15-Sep-2018, other outboard
1221,Beneteau 42 CC,43',12',5',2003,racer/cruiser,fiberglass  monohull,"Riverside, New Jersey","$129,900",14-Sep-2018,1 diesel inboard
1241,Hunter 410,40',13',,2001,racer/cruiser,fiberglass  monohull,"riverside, New Jersey","$84,900",14-Sep-2018,1 diesel inboard
1261,Catalina 250,25',,,2000,racer,fiberglass  monohull,"Riverside, New Jersey","$13,900",14-Sep-2018,1 gas outboard
1281,Catalina 320,32',,,1995,cruiser,fiberglass  monohull,"Riverside, New Jersey","$44,900",14-Sep-2018,1 diesel inboard
1301,Catalina 30 SR,30',11',5-3',1979,cruiser,fiberglass  monohull,"Cleveland, Ohio","$19,495",14-Sep-2018,1 gas inboard
1321,Jeanneau 42.1,42',13',4',1993,cruiser,fiberglass  monohull,"riverside, New Jersey","$82,000",13-Sep-2018,1 diesel inboard
1341,Pearson 303,30'',10',4',1983,cruiser,fiberglass  monohull,"Riverside, New Jersey","$12,900",13-Sep-2018,1 diesel inboard
1361,Catalina Catalina 25,25',8',4',1986,cruiser,fiberglass  monohull,"Cooperstown Otsego Lake, New York","$6,950",13-Sep-2018,1 gas outboard
1381,MacGregor ,25',,2.5',73,cruiser,fiberglass  monohull,"Cohutta, Georgia","$4,000",13-Sep-2018, gas inboard
1401,San Juan 21,21',7',4',1971,daysailer,fiberglass  monohull,"Mineral Bluff, Georgia","$3,200",13-Sep-2018,1 gas outboard
1421,Islander 32 MKII,32',11',5.5',1977,cruiser,fiberglass  monohull,"Stockton Springs, Maine","$12,000",13-Sep-2018,1 diesel inboard
1441,Kaiser Kaiser 26 MK II,26'',7' 8',4'',1972,cruiser,fiberglass  monohull,"Kent Island, Maryland","$6,500",12-Sep-2018,1 gas outboard
1461,Hunter 23,23',8',2.25',1984,racer/cruiser,fiberglass  monohull,"Portland, Maine","$2,400",11-Sep-2018,0 gas outboard
1481,Catalina 310,31',11.5',4.5',2001,cruiser,fiberglass  monohull,"Nichols Great kills Marina, New York","$40,000",11-Sep-2018,1 diesel inboard
1501,Cape Dory 30 Mk II,30'6',10'6',4'6'',1988,cruiser,fiberglass  monohull,"Essex, Maryland","$36,000",10-Sep-2018,1 diesel inboard
1521,Gemini Legacy 35,35',14'',2'8',2013,cruiser,fiberglass  catamaran,"Riverside NJ, New Jersey","$164,000",10-Sep-2018,2 diesel inboard
0,wauquiez pilot saloon 43,43.5',13.75',7',2001,cruiser,fiberglass  monohull,"Maple Bay Marina Canada, Outside United States","$435,000",30-Jun-2014,1 diesel inboard
21,Hobie 16,16'9',17'11',10',1994,racer/cruiser,fiberglass  catamaran,"Bedford, New Hampshire","$2,300",30-Jun-2014, gas inboard
41,Columbia c 24,24',8',3',1990,cruiser,fiberglass  monohull,"Jefferson Maine, Maine","$2,995",30-Jun-2014,0 gas outboard
61,Allied Seawind,31',9'4',4'4',1969,cruiser,fiberglass  monohull,"San Juan Islands, Washington","$24,000",29-Jun-2014,1 diesel inboard
81,Ericson 32-2,32',9' 8',4' 11',1977,cruiser,fiberglass  monohull,"Geneva, New York","$16,500",29-Jun-2014,1 gas inboard
101,Morgan m26,26',8',4',,cruiser,fiberglass  monohull,,"$1,500",29-Jun-2014,1 gas outboard
117,Privilege 42,42',23',4',1999,cruiser,fiberglass  catamaran,"Marblehead, Massachusetts","$269,000",29-Jun-2014,2 diesel inboard
137,Cal-Boats Cal 35 Cruise,35.08',11',4.67',1973,cruiser,fiberglass  monohull,"Rivers Edge Marina, Florida","$17,500",29-Jun-2014,1 diesel inboard
157,Hunter 23,23',,,1990,daysailer,fiberglass  monohull,"DeGray Lake State Park, Arkansas","$7,500",28-Jun-2014,1 gas outboard
177,Hunter Marine Hunter 23',23'',8'',2'3',1986,cruiser,fiberglass  monohull,"Fairless Hillls, Pennsylvania","$1,500",27-Jun-2014,1 gas outboard
197,One-off built to high standards Trans ocean cold water cruiser,38',11',6',1985,cruiser,steel  monohull,"Juan L Lacaze Uruguay, Outside United States","$90,000",27-Jun-2014,1 diesel inboard
217,Hans Christian 38T,38',12'4',6',1976,cruiser,fiberglass  monohull,"Puerto Rico, Outside United States","$110,000",27-Jun-2014,1 diesel inboard
237,Hinterhoeller Shark,24',7',3.2',1964,racer,fiberglass  monohull,"Annapolis, Maryland","$5,000",26-Jun-2014,
255,morgan ,34',10',6.6',1967,other,fiberglass  monohull,"LAKE CHAMPLAIN  Port Henry N Y, New York","$17,000",26-Jun-2014,1 diesel inboard
275,Wright  Yacht Company Allied Seawind 32 ll,32',10.5',4.5',1977,cruiser,fiberglass  monohull,"Saint Petersburg, Florida","$29,500",26-Jun-2014,1 diesel inboard
295,Hunter 280,28',9.7',5',1996,daysailer,fiberglass  monohull,"Jersey City, New Jersey","$25,500",26-Jun-2014,1 diesel inboard
315,Pearson Triton,25',8',4',1985,cruiser,fiberglass  monohull,"Branford, Florida","$6,900",25-Jun-2014, gas outboard
335,Evelyn 32-2,32',10',6',1983,racer/cruiser,fiberglass  monohull,"Port Townsend, Washington","$14,000",25-Jun-2014,1 gas outboard
355,Traditional Watercraft Island Packet,31',11'6',4'8',1986,cruiser,fiberglass  monohull,"Palacios, Texas","$48,000",25-Jun-2014,1 diesel inboard
375,Hunter 356,36',12',6.5',2003,,fiberglass  monohull,"Willsboro, New York","$108,500",24-Jun-2014,1 diesel inboard
393,C&C 39.5,39.5',11.7',6.7',1972,cruiser,fiberglass  monohull,"Cartagena Colombia, Outside United States","$59,900",23-Jun-2014, diesel inboard
413,Hunter 21.2,21',7.5',18',2001,cruiser,composite  monohull,"Mobile, Alabama","$3,800",23-Jun-2014,1 gas outboard
433,O'Day Day Sailor,17'',6'',,1957,daysailer,fiberglass  monohull,"Santa Cruz, California","$2,700",23-Jun-2014,1 gas outboard
467,Pearson Electra,22'',,3'9',,cruiser,fiberglass  monohull,"private, New Hampshire",$900,22-Jun-2014, gas outboard
485,Nacra 6.0 na,20',8.6',,1999,racer,fiberglass  catamaran,"Lake hopatcong, New Jersey","$8,000",22-Jun-2014,
503,seafarer Futura,24',7.5',2',1974,cruiser,fiberglass  monohull,"Hudson, Florida","$1,400",22-Jun-2014,1 gas outboard
523,Hunter Day Sailer- HULL and TRAILER,23',8',2'3',1987,daysailer,fiberglass  monohull,"Fostoria ohio, Ohio","$1,500",20-Jun-2014, gas inboard
543,Precision 18,17'6',7'6',4'3',2012,other,fiberglass  monohull,"San Diego, California","$17,500",20-Jun-2014,1 gas outboard
563,Hunter Day Sailer,23.3',8',2'3',1986,daysailer,fiberglass  monohull,"Port Clinton, Ohio","$5,800",20-Jun-2014,1 gas outboard
583,FHerreshoff 52 Blue water cruiser,52',14'5',5'8',1979,cruiser,fiberglass  monohull,"Cruising Pacific Fiji, Texas","$265,000",20-Jun-2014,1 diesel inboard
603,Tartan 34 C,34'5',10'2',3'11',1975,cruiser,fiberglass  monohull,"Kemah, Texas","$15,000",20-Jun-2014,1 diesel inboard
623,Sabre 28,28' 5',9' 2',4',1973,cruiser,fiberglass  monohull,"Chestertown, Maryland","$5,750",20-Jun-2014,1 gas inboard
643,Kadey Krogen 38R,38',13',3',1987,cruiser,fiberglass  monohull,"Indian Harbour Beach, Florida","$49,000",19-Jun-2014,1 diesel inboard
663,Morgan 33,33',9',5',1969,racer/cruiser,fiberglass  monohull,"Boat Yard, Virginia","$2,900",19-Jun-2014,1 gas inboard
683,O' Day Sailboat,19',8',3',1975,daysailer,fiberglass  monohull,"Huntington, New York",$900,19-Jun-2014,  outboard
703,O'Day 272,27',9',3',1988,cruiser,fiberglass  monohull,"Lake Monroe, Indiana","$14,000",18-Jun-2014,1 gas outboard
723,Hunter 280,28',9' 7',3'10',1996,cruiser,fiberglass  monohull,"Clear Lake Shores, Texas","$24,900",18-Jun-2014,1 diesel inboard
743,Catalina 27,27',9',4',81,cruiser,fiberglass  monohull,"Lake Hartwell, South Carolina","$3,900",18-Jun-2014, gas outboard
763,C&C markIII,35',11',5',1984,racer/cruiser,fiberglass  monohull,"Plymouth, Massachusetts","$17,000",18-Jun-2014,1 diesel inboard
783,Hunter ,23',,,1989,,fiberglass  ,"Lake Mendota Madison, Wisconsin","$3,000",18-Jun-2014,1 gas outboard
801,Hartley RoRC,39',46',6',1976,cruiser,steel  monohull,"South Africa, California","$99,000",17-Jun-2014,1 diesel inboard
821,Custom Alex Simonis design 3 cabin owner version,53',28'6',5',2000,cruiser,composite  catamaran,"malaysia, Outside United States","$450,000",17-Jun-2014,2 diesel inboard
841,Snug Harbor Herrishoff 58 ,58',13.4',6.3',2004,cruiser,fiberglass  monohull,"Marion, Massachusetts","$750,000",17-Jun-2014,1 diesel inboard
861,Tartan 3500,35',11.8',6.6',1999,cruiser,fiberglass  monohull,"Newport, Rhode Island","$159,000",17-Jun-2014,1 diesel inboard
